quiz_id,id,label,description
1,1,Endurance,"These are mainly aerobic exercises that will increase your breathing and heart rate. They keep the circulatory system and lungs healthy, prevet diabetes and heart disease, and help you build up endurance."
1,2,Strength,"These exercises are designed to keep your bones and muscles strong. Strength training is beneficial in reducing falls and helping you do everyday activities that require lifting, such as carrying groceries. Some examples of strength training include lifting free weights and using resistance."
1,3,Balance,"Balance can strengthen the body’s core and help prevent falls. Some good balance exercises include heel-to-toe walking, standing on one foot, and ta chi."
1,4,Flexibility,Flexibility exercises can keep your body limber and help you maintain a wide range of motion. This is important because range of motion is often limited by things like arthritis. Yoga and stretching are good practices for flexibility.
2,5,Mind - Order,"In your mind, you are an order muppet.

Your thoughts are organized. You are not particularly emotional. You let troublesome things wash over you, unless it's something that ruined your careful plans, in which case it may take you a moment or two to regain your footing. Having the mind of an order muppet doesn't mean you aren't creative; you just have a few things you're passionate about that you dedicate your energy to."
2,6,Mind - Chaos,"In your mind, you are a chaos muppet.

You have a million ideas and not enough time. You embrace your emotions rather than cold logic. You have a tendency to take things personally. Your brain is very unorganized, but the lack of organization allows you to go with the flow when something unexpected happens, because you didn't have a concrete plan anyway."
2,7,Appearance - Order,"You appear to be an order muppet.

Others see you as solemn, rational, and dependable. Order muppets are generally more quiet. Chaos muppets might think you're not much fun, but other order muppets appreciate your calm aura. You are skilled at defusing arguments and addressing problems in a calm manner. Social situations sap your energy, and afterwards you need lots of time to decompress."
2,8,Appearance - Chaos,"You appear to be a chaos muppet.

You're the life of the party. You're expressive and energetic. You're not afraid to be silly and have fun. Order muppets think you can be a bit obnoxious sometimes, but you just want everyone to come out of their shell and have a good time. You wear your emotions on your sleeve, and you can be argumentative when you disagree with someone. You thrive when surrounded by lots of people."
2,9,Action - Order,"Your actions are that of an order muppet.

You are a meticulous planner. One of your strengths is that once you're fixated on an idea, you're difficult to distract. You are very good at seeing an idea through to completion, even if it takes you a while due to how careful you are. Strict rules help you complete projects more efficiently. Whether you like it or not, the chaos muppets in your life depend on you to get things done. However, those same chaos muppets can help pull you out of the planning stage and push you towards taking action."
2,10,Action - Chaos,"Your actions are that of a chaos muppet.

Given a task, you dive in head first without much thought about problems that might arise later. Plans only slow you down. You are skilled at switching gears and jumping from task to task as needed. You are a go-getter with plentiful energy, and you would benefit from having order muppets in your life to help channel your energy in a useful way."